sdss designation,redshift,angular sep,proper sep,sdss r band
J130349.65+532819.5,0.0327,113.8,75.4,15.62
J130354.36+532650.3,0.0332,113.8,75.4,16.05
J130515.65+412558.8,0.1549,11.4,30.5,17.46
J130516.41+412557.6,0.1548,11.4,30.5,17.82
J130543.32+093349.5,0.0557,58.2,62.5,17.02
J130544.00+093446.8,0.0553,58.2,62.5,15.45
J130701.21+461833.9,0.0245,104.3,51.8,15.29
J130708.16+461834.4,0.0246,104.3,51.8,15.66
J130723.53+365530.1,0.04,14.3,11.5,17.05
J130723.88+365543.4,0.0408,14.3,11.5,15.07
J130807.66+500446.9,0.055,20.5,22.4,15.97
J130808.96+500453.7,0.0563,20.5,22.4,16.76
J130901.20+173113.3,0.0792,57.5,86.1,17.79
J130903.22+424552.3,0.0387,112.8,85.0,17.01
J130904.90+173058.3,0.0787,57.5,86.1,16.47
J130910.69+424605.3,0.038,112.8,85.0,16.81
J130913.90+461507.0,0.0354,86.1,60.6,15.72
J130919.39+461442.3,0.0359,86.1,60.6,14.95
J130921.36+042953.3,0.0471,64.7,59.1,14.67
J130925.65+042945.7,0.0466,64.7,59.1,15.23
J130928.83+193457.8,0.0683,50.9,66.4,16.09
J130930.64+193414.8,0.0681,50.9,66.4,14.7
J131002.75+300236.2,0.0352,119.4,83.6,15.15
J131007.10+300056.1,0.0354,119.4,83.6,17.66
J131025.20+255028.4,0.1246,24.6,55.1,17.52
J131026.72+255037.7,0.1251,24.6,55.1,17.32
J131041.07+440107.4,0.0358,28.0,20.2,17.14
J131042.35+440127.8,0.0363,28.0,20.2,14.14
J131113.49+271746.9,0.0595,64.1,73.1,15.94
J131115.05+271846.6,0.059,64.1,73.1,15.33
J131143.92+084410.1,0.0507,55.9,55.7,16.1
J131144.90+084503.9,0.0511,55.9,55.7,17.13
J131329.41+460258.2,0.1197,41.0,88.9,16.28
J131332.02+460310.3,0.1203,41.0,88.9,17.36
J131440.61+284337.8,0.1408,8.5,21.0,17.29
J131441.15+284340.7,0.1398,8.5,21.0,16.52
J131513.87+442426.5,0.0354,50.9,35.9,14.69
J131517.27+442425.6,0.0355,50.9,35.9,14.31
J131520.05+421930.6,0.0626,60.7,73.1,15.84
J131522.34+422020.6,0.0628,60.7,73.1,16.32
J131543.68+554704.4,0.0808,26.7,40.9,14.7
J131543.99+521055.7,0.0587,78.0,88.6,15.83
J131544.57+521213.2,0.0592,78.0,88.6,13.94
J131545.14+554719.7,0.0811,26.7,40.9,16.59
J131602.14+621838.8,0.0798,65.2,98.2,16.77
J131604.36+621934.8,0.0803,65.2,98.2,17.03
J131628.81+525737.2,0.0335,97.1,64.8,16.26
J131629.82+525601.2,0.0327,97.1,64.8,13.77
J131637.18+525447.6,0.0322,132.7,85.4,15.28
J131700.82+004505.7,0.1385,9.9,24.1,18.73
J131701.42+004509.7,0.1378,9.9,24.1,16.92
J131703.85+542006.2,0.1418,11.4,28.3,17.72
J131704.20+542016.2,0.1418,11.4,28.3,17.29
J131754.95+382834.2,0.0546,3.0,3.2,16.26
J131755.05+382831.5,0.055,3.0,3.2,19.53
J131758.74+295020.7,0.1098,28.1,56.8,16.7
J131800.51+295011.6,0.1108,28.1,56.8,17.13
J131906.70+211217.6,0.0874,40.4,66.1,17.2
J131909.39+211220.1,0.089,40.4,66.1,17.02
J132021.99+302642.4,0.0475,16.3,15.2,15.96
J132023.07+302641.0,0.0476,16.3,15.2,15.3
J132113.29+374410.7,0.0722,71.1,96.5,16.6
J132114.66+374518.8,0.0711,71.1,96.5,16.54
J132217.25+110746.7,0.086,57.3,92.4,17.5
J132220.96+110800.5,0.0859,57.3,92.4,16.99
J132224.95+230739.2,0.0462,90.2,81.6,14.7
J132229.87+230647.2,0.0461,90.2,81.6,15.76
J132259.87+270659.1,0.0344,63.6,43.6,13.78
J132301.24+270558.9,0.0344,63.6,43.6,14.7
J132335.88+012214.1,0.0571,79.1,87.5,16.02
J132340.72+012142.5,0.0568,79.1,87.5,15.16
J132356.94+305917.0,0.0228,162.9,80.8,13.04
J132359.96+305556.7,0.0223,205.3,92.4,14.87
J132404.73+305723.5,0.0246,162.9,80.8,14.7
J132412.84+153538.5,0.0283,92.0,52.3,14.73
J132413.57+153407.2,0.0289,92.0,52.3,14.8
J132424.31+134113.6,0.0596,64.8,74.6,14.7
J132428.03+134146.6,0.0596,64.8,74.6,16.44
J132446.32+433944.1,0.0469,68.3,63.0,15.67
J132449.11+434038.0,0.0471,68.3,63.0,14.85
J132450.47+082227.6,0.0541,88.6,91.3,16.29
J132452.13+082352.6,0.0529,88.6,91.3,15.68
J132706.60+033248.3,0.0804,61.3,92.9,16.39
J132709.97+033213.7,0.0805,61.3,92.9,15.95
J132753.61+582644.6,0.068,76.1,99.4,16.39
J132758.47+582706.3,0.0682,76.1,99.4,15.52
J132907.57+373906.7,0.0559,77.9,81.9,15.39
J132912.33+373937.9,0.054,77.9,81.9,14.99
J132933.28+095235.1,0.0665,56.4,71.6,16.91
J132936.40+095306.6,0.0662,56.4,71.6,16.18
J132942.56+141656.4,0.1487,25.3,65.7,17.67
J132943.49+141717.4,0.149,25.3,65.7,17.47
J133031.75-003611.9,0.0542,4.2,4.4,18.36
J133032.00-003613.5,0.0542,4.2,4.4,15.17
J133205.41+022219.9,0.1401,38.1,93.2,16.6
J133207.29+022245.6,0.1388,38.1,93.2,16.31
J133227.93+071859.2,0.0227,103.0,47.2,12.75
J133232.26+071739.1,0.0225,103.0,47.2,14.71
J133242.55+071938.1,0.0234,194.8,91.9,12.99
J133243.37+181034.7,0.0227,216.8,99.4,14.2
J133250.08+251253.0,0.0745,43.8,61.8,17.41
J133252.49+251228.3,0.0743,43.8,61.8,17.06
J133255.27-030134.8,0.0478,20.2,18.9,15.7
J133256.11+180852.4,0.0237,216.8,99.4,14.7
J133256.58-030139.6,0.0467,20.2,18.9,14.84
J133303.10+343301.4,0.025,203.7,99.9,14.7
J133316.29+343213.2,0.0243,203.7,99.9,14.23
J133531.79+635345.9,0.0666,74.1,94.6,16.67
J133535.51+635434.5,0.0661,74.1,94.6,16.79
J133638.35+203232.9,0.0726,5.7,7.9,16.79
J133638.60+203228.7,0.0725,5.7,7.9,16.45
J133650.45+261802.0,0.0663,23.7,30.1,17.08
J133651.27+261822.2,0.0664,23.7,30.1,16.32
J133718.71+035618.9,0.0223,163.0,74.9,15.28
J133723.24+035350.7,0.0228,163.0,74.9,13.91
J133817.27+481632.3,0.0278,11.5,6.4,16.65
J133817.77+481641.1,0.0277,11.5,6.4,13.92
J133911.64+613021.7,0.0311,65.9,40.9,13.45
J133911.77+612915.8,0.0307,65.9,40.9,15.9
J133913.31+085416.6,0.066,77.3,98.2,14.7
J133915.97+085310.3,0.0662,77.3,98.2,15.54
J133925.98+144947.7,0.1442,19.6,49.5,17.42
J133926.33+144928.9,0.1436,19.6,49.5,17.69
J133947.37+334011.9,0.0422,67.3,54.4,15.26
J133948.41+334117.4,0.0409,67.3,54.4,14.22
J134023.91+071734.3,0.0551,83.7,89.7,15.53
J134028.44+071823.2,0.0544,83.7,89.7,16.73
J134049.99+602851.3,0.0412,13.8,11.3,16.2
J134050.74+602843.3,0.0417,13.8,11.3,15.94
J134130.41-002514.6,0.0713,61.5,83.6,16.14
J134133.37-002432.1,0.0719,61.5,83.6,16.34
J134140.46+042810.6,0.0761,49.9,72.0,17.23
J134141.99+042855.0,0.0764,49.9,72.0,17.85
J134150.99+032426.8,0.1139,12.9,26.6,17.83
J134151.85+032427.7,0.1136,12.9,26.6,16.97
J134254.69+220842.7,0.0276,78.1,43.2,13.64
J134258.64+220933.6,0.0267,78.1,43.2,15.29
J134424.52+202434.4,0.027,131.7,71.3,14.46
J134424.98+202222.9,0.0269,131.7,71.3,13.84
J134437.04+371017.9,0.0266,177.4,94.8,14.38
J134448.70+370947.5,0.0266,177.4,94.8,14.1
J134450.38+135518.3,0.0823,23.0,35.6,16.64
J134450.98+135539.4,0.0818,23.0,35.6,16.1
J134512.10+231504.6,0.0305,131.3,80.1,14.56
J134512.26-000803.7,0.0886,50.3,84.1,16.87
J134512.71-000713.8,0.0895,50.3,84.1,17.37
J134516.16+231308.2,0.0306,131.3,80.1,13.05
J134529.35+024812.7,0.079,36.9,54.6,15.78
J134531.72+024802.6,0.0782,36.9,54.6,15.8
J134541.35+220313.9,0.0275,141.3,77.5,14.32
J134545.62+220519.8,0.0273,141.3,77.5,13.98
J134551.26+561602.5,0.0679,61.7,80.0,17.44
J134555.32+561552.2,0.0677,61.7,80.0,15.31
J134604.99+281214.6,0.0749,65.2,92.7,16.3
J134608.93+281242.1,0.0763,65.2,92.7,16.5
J134609.24+230210.2,0.0275,82.2,44.4,14.7
J134610.56+072201.1,0.0831,59.3,92.7,15.76
J134611.15+072259.7,0.0832,59.3,92.7,17.61
J134612.70+230313.8,0.0269,82.2,44.4,13.9
J134630.60+224221.7,0.0266,175.4,93.7,14.99
J134634.31+601825.2,0.0719,37.5,51.3,16.4
J134636.35+601846.8,0.0721,37.5,51.3,15.54
J134641.85+224133.5,0.0275,175.4,93.7,13.82
J134712.76-030915.6,0.0841,58.5,93.2,16.95
J134714.47-030823.1,0.085,58.5,93.2,17.21
J134736.41+173404.7,0.0447,10.6,9.3,16.94
J134737.11+173404.1,0.045,10.6,9.3,15.72
J134843.80+065535.1,0.0511,68.0,67.8,15.73
J134845.23+065430.5,0.0511,68.0,67.8,16.9
J134928.65+160933.1,0.0577,81.8,91.7,15.43
J134928.92+053222.7,0.0808,61.2,93.2,16.25
J134931.74+053138.6,0.0808,61.2,93.2,15.48
J134934.10+160936.9,0.0579,81.8,91.7,17.3
J134951.67+051253.9,0.0781,66.2,97.8,17.64
J134955.31+051216.4,0.0772,66.2,97.8,16.72
J135018.01+183902.2,0.0977,21.1,38.1,17.41
J135019.39+183906.0,0.0979,21.1,38.1,17.2
J135104.08+192548.8,0.0624,19.4,23.3,17.22
J135104.21+192608.1,0.0626,19.4,23.3,15.33
J135153.33+163617.0,0.1058,3.2,6.2,17.57
J135153.46+163619.6,0.1057,3.2,6.2,17.25
J135221.95+213350.7,0.0272,89.8,45.6,15.83
J135222.75+213221.7,0.0252,89.8,45.6,13.22
J135225.64+142919.3,0.0415,17.2,14.1,15.2
J135226.65+142927.5,0.0406,17.2,14.1,13.95
J135320.21+191944.9,0.0707,18.1,24.4,17.36
J135321.09+191932.4,0.0712,18.1,24.4,17.02
J135335.87+240100.4,0.0562,75.1,82.4,15.09
J135340.74+240043.2,0.0566,75.1,82.4,15.3
J135342.80+000339.1,0.0299,144.7,87.9,13.84
J135344.57+000601.4,0.0303,144.7,87.9,17.66
J135408.85+325434.6,0.0256,181.9,95.4,14.7
J135419.95+325547.8,0.0261,181.9,95.4,13.51
J135428.88+052636.2,0.0522,74.1,75.4,14.79
J135429.06+132757.3,0.0633,10.2,12.5,17.19
J135429.18+132807.4,0.0634,10.2,12.5,16.35
J135429.82+340947.1,0.0538,74.9,78.4,15.72
J135430.74+052744.9,0.0522,74.1,75.4,16.38
J135433.75+341033.4,0.0539,74.9,78.4,15.33
J135455.80+250721.5,0.0291,147.9,86.3,13.84
J135503.63+250851.5,0.0307,147.9,86.3,15.95
J135512.59+250117.2,0.031,110.0,68.3,13.71
J135513.39+250306.5,0.0311,110.0,68.3,13.12
J135607.90+300452.9,0.0311,68.8,42.8,15.12
J135610.36+300550.9,0.0311,68.8,42.8,14.92
J135632.71+232118.3,0.0661,48.6,62.3,16.72
J135635.73+232136.0,0.0668,43.1,55.2,14.79
J135638.42+232151.5,0.0659,43.1,55.2,17.25
J135639.45+232210.3,0.0657,65.5,83.9,16.68
J135713.20+120116.8,0.0207,86.4,35.9,13.14
J135713.89+115951.0,0.0205,86.4,35.9,14.06
J135740.18+223137.7,0.0622,50.7,60.8,15.77
J135742.12+223056.1,0.0621,50.7,60.8,15.97
J135748.90+361846.4,0.0618,21.7,25.8,15.86
J135749.20+361907.6,0.0618,21.7,25.8,16.16
J135822.24+132742.2,0.0385,110.1,84.0,17.96
J135827.10+132904.7,0.0389,110.1,84.0,14.96
J135835.12+285052.2,0.0385,77.9,59.4,15.06
J135837.98+285157.3,0.0389,77.9,59.4,14.9
J135940.08+055016.2,0.0826,59.7,92.7,16.37
J135943.84+055035.9,0.0829,59.7,92.7,16.57
J140028.00+160909.4,0.0597,80.6,92.9,17.11
J140031.57+161009.5,0.0597,80.6,92.9,17.4
J140037.21-025128.2,0.0248,101.9,51.0,12.88
J140040.02-024955.4,0.0239,101.9,51.0,15.41
J140136.03+322231.5,0.116,11.2,23.6,17.62
J140136.75+322228.8,0.1152,11.2,23.6,17.48
J140139.17+164850.1,0.0811,18.4,28.1,17.72
J140140.12+164901.8,0.0805,18.4,28.1,16.53
J140204.80-012128.5,0.0249,140.5,70.6,13.86
J140206.26-012347.3,0.0249,140.5,70.6,13.99
J140341.10+093424.6,0.0224,202.3,95.7,13.41
J140343.63+292045.3,0.0633,62.3,76.3,15.28
J140345.02+292144.0,0.0637,62.3,76.3,14.93
J140347.34+093125.3,0.0234,202.3,95.7,13.75
J140429.25+102225.9,0.1019,28.1,52.8,17.66
J140431.12+102228.3,0.102,28.1,52.8,16.47
J140553.35+654227.8,0.0311,85.8,53.4,14.61
J140557.37+654126.7,0.0319,85.8,53.4,13.58
J140638.26+184415.7,0.0768,11.4,16.6,16.08
J140638.53+184405.1,0.0768,11.4,16.6,16.03
J140649.10+185754.6,0.0582,41.2,46.4,15.26
J140650.60+185720.1,0.0562,41.2,46.4,14.86
J140714.29-024336.7,0.0559,50.7,55.1,15.17
J140716.62-024413.5,0.0555,50.7,55.1,17.05
J140838.66-012807.5,0.0548,91.0,96.8,15.79
J140839.12-012938.2,0.0545,91.0,96.8,16.2
J140905.01+605444.7,0.1219,42.5,92.6,16.93
J140907.61+605427.9,0.1211,42.5,92.6,17.01
J141011.03+510612.9,0.0476,56.2,52.4,17.17
J141013.91+510649.0,0.0461,56.2,52.4,14.55
J141057.24+252950.0,0.031,112.5,69.8,13.71
J141102.54+253109.7,0.0315,112.5,69.8,14.52
J141105.14+252857.9,0.0294,129.4,80.3,14.7
J141116.45+194436.2,0.2387,5.7,21.4,20.07
J141116.72+194440.1,0.2383,5.7,21.4,14.7
J141119.17+011834.3,0.0249,134.5,67.5,15.38
J141126.23+011711.4,0.0249,134.5,67.5,13.44
J141128.66+190203.2,0.0574,74.4,82.8,16.9
J141132.71+190246.2,0.0577,74.4,82.8,15.23
J141151.61-000303.2,0.055,27.8,29.1,17.36
J141153.47-000302.3,0.0538,27.8,29.1,15.12
J141153.81-000203.0,0.0531,59.5,62.3,14.97
J141254.73+211717.2,0.0859,51.8,83.2,16.94
J141255.48+211807.8,0.0856,51.8,83.2,16.38
J141306.76+194008.1,0.0731,68.7,95.5,16.14
J141311.20+193951.7,0.0715,68.7,95.5,16.22
J141336.64+121157.7,0.0574,51.4,57.2,15.73
J141340.06+121158.1,0.0581,51.4,57.2,15.42
J141421.15+025721.2,0.0263,76.9,40.3,15.73
J141422.72+025834.5,0.026,7.5,3.9,15.18
J141422.99+025840.8,0.0262,7.5,3.9,16.28
J141442.60+030634.0,0.0261,152.3,80.0,14.98
J141447.15-000013.3,0.0475,5.3,4.9,16.35
J141447.48-000011.3,0.0474,5.3,4.9,16.24
J141451.35+030751.3,0.0253,152.3,80.0,13.02
J141503.63+520434.3,0.0732,70.9,98.8,16.29
J141503.92+520323.5,0.073,70.9,98.8,16.21
J141526.14+183100.9,0.0533,91.1,94.8,15.75
J141531.28+183012.5,0.0535,91.1,94.8,16.38
J141538.98-002739.9,0.0834,48.2,76.6,16.04
J141539.07-002651.7,0.0847,48.2,76.6,16.54
J141541.06+085318.4,0.0294,118.8,70.0,14.67
J141547.02+085436.7,0.0287,118.8,70.0,14.3
J141605.27-011537.4,0.0499,93.8,92.1,16.9
J141611.21-011606.4,0.0502,93.8,92.1,16.53
J141613.68+361233.9,0.0665,75.8,97.2,15.18
J141618.00+271255.3,0.0694,61.2,81.2,15.5
J141618.58+361252.3,0.0669,75.8,97.2,14.7
J141621.71+271320.7,0.0694,61.2,81.2,16.97
J141717.87+010922.4,0.0535,69.7,73.7,15.37
J141719.96+011024.7,0.0544,69.7,73.7,16.0
J141818.62+111259.0,0.0252,97.3,49.4,14.47
J141822.63+111142.6,0.0244,97.3,49.4,13.32
J141934.13+043822.7,0.0984,3.2,5.7,16.48
J141934.31+043824.1,0.0983,3.2,5.7,18.26
J142144.75+073914.8,0.2305,22.2,81.6,18.52
J142146.16+073908.3,0.2306,22.2,81.6,14.7
J142209.72+043116.1,0.0267,74.9,40.2,14.98
J142210.87+043003.2,0.0271,74.9,40.2,16.56
J142244.81+380042.6,0.0281,66.0,37.2,15.25
J142246.69+375942.9,0.0275,66.0,37.2,13.66
J142342.93+203034.8,0.0672,63.6,81.0,14.78
J142347.17+203038.3,0.0664,63.6,81.0,16.62
J142355.15+634223.8,0.0364,120.2,86.9,15.91
J142357.00+634420.8,0.0364,120.2,86.9,16.83
J142437.36-013820.1,0.0555,25.5,27.5,15.01
J142437.95-013756.2,0.055,25.5,27.5,15.53
J142457.53+241517.9,0.0751,62.5,89.1,15.52
J142501.61+241530.4,0.0749,62.5,89.1,16.22
J142554.67+163757.1,0.0538,90.0,96.9,15.15
J142558.11+163910.8,0.0555,90.0,96.9,16.59
J142606.52+202829.9,0.0769,2.5,3.7,16.17
J142606.65+202831.6,0.0766,2.5,3.7,16.12
J142626.63+330439.5,0.0636,29.9,37.1,16.81
J142627.54+330412.8,0.0645,29.9,37.1,16.68
J142704.55+355409.6,0.029,77.9,45.2,14.92
J142708.47+355500.6,0.029,77.9,45.2,14.7
J142722.83+200549.4,0.0758,4.7,6.7,16.06
J142723.13+200547.9,0.0758,4.7,6.7,16.29
J142737.54+210720.1,0.0975,15.9,28.2,17.52
J142738.56+210724.3,0.0959,15.9,28.2,16.2
J142811.55+150052.8,0.0702,64.6,86.3,15.91
J142812.21+145949.0,0.07,64.6,86.3,17.8
J142821.65+455757.2,0.0749,64.8,90.9,16.65
J142822.47+172747.8,0.0715,51.9,71.1,17.83
J142825.89+455810.0,0.0738,64.8,90.9,15.22
J142825.93+172749.6,0.072,51.9,71.1,16.03
J142832.25+410704.4,0.0987,7.1,13.1,16.09
J142832.70+410702.0,0.0991,7.1,13.1,17.79
J142916.56+171745.3,0.0519,88.0,89.1,16.24
J142919.15+171626.3,0.0528,88.0,89.1,15.97
J142940.84+571639.5,0.0689,12.5,16.6,15.72
J142941.30+571629.1,0.0697,12.5,16.6,17.28
J142947.66+353427.5,0.0283,42.7,25.0,13.81
J142950.32+353412.2,0.0292,42.7,25.0,14.8
J143040.76+224048.8,0.0851,39.8,63.5,17.09
J143041.70+224011.6,0.0846,39.8,63.5,15.79
J143118.20-014855.4,0.0519,97.9,99.1,15.76
J143124.08-014938.0,0.0531,97.9,99.1,16.64
J143129.44+132908.2,0.0696,20.4,26.8,14.7
J143130.04+132849.9,0.0685,20.4,26.8,15.57
J143152.89+071915.2,0.0273,155.5,82.7,13.98
J143154.10+215618.4,0.0443,23.5,20.5,14.82
J143154.25+215641.8,0.0443,23.5,20.5,17.42
J143202.92+071954.3,0.0265,155.5,82.7,15.76
J143208.01+045703.1,0.0852,56.6,90.5,16.64
J143210.65+045622.7,0.0848,56.6,90.5,16.93
J143212.54+455459.5,0.0359,25.2,18.0,14.37
J143214.19+455454.9,0.036,25.2,18.0,17.69
J143245.57-013551.8,0.1209,24.5,53.3,17.62
J143247.10-013543.1,0.121,24.5,53.3,17.0
J143302.42+143810.3,0.1454,31.1,79.1,17.32
J143304.35+143758.9,0.1452,31.1,79.1,17.64
J143310.55+525830.5,0.0476,56.4,52.3,14.7
J143312.96+525747.3,0.0473,56.4,52.3,15.09
J143410.68+124132.1,0.031,80.1,49.6,14.64
J143411.65+124250.9,0.031,80.1,49.6,13.86
J143430.61+230529.9,0.0378,127.4,94.5,15.39
J143434.59+140548.3,0.0697,47.6,63.0,15.41
J143436.19+140629.4,0.0693,47.6,63.0,16.88
J143438.51+230443.2,0.0374,126.7,94.0,16.0
J143442.15+230637.5,0.0379,126.7,94.0,14.7
J143450.17+354911.8,0.0437,99.5,87.3,15.57
J143454.22+334934.5,0.0578,16.1,18.0,15.82
J143454.68+334920.0,0.0587,16.1,18.0,15.54
J143455.40+354810.5,0.0446,99.5,87.3,15.95
J143500.02+173315.1,0.0912,20.7,35.1,16.89
J143500.29+173254.8,0.0914,20.7,35.1,17.11
J143520.64+185842.7,0.1804,1.8,5.6,17.41
J143520.73+185841.6,0.1809,1.8,5.6,17.79
J143545.74+244332.9,0.036,99.8,68.3,13.5
J143547.19+244510.3,0.0343,99.8,68.3,14.97
J143643.13+080836.0,0.0503,68.4,67.2,17.37
J143643.84+080728.4,0.0505,68.4,67.2,14.52
J143653.03+120940.6,0.0548,82.5,87.9,15.23
J143658.30+121004.4,0.055,82.5,87.9,15.52
J143754.05+155149.2,0.037,11.9,8.7,14.57
J143754.39+155138.5,0.037,11.9,8.7,14.94
J143801.02+101051.5,0.0269,69.2,37.4,14.6
J143802.18+100944.5,0.0279,69.2,37.4,14.44
J143810.34+100805.8,0.0277,157.2,87.4,16.42
J143822.79+180640.4,0.0303,129.9,78.8,14.86
J143825.39+180436.5,0.0305,129.9,78.8,15.96
J143834.40+082654.7,0.0513,87.6,88.2,16.87
J143836.61+082533.6,0.0516,87.6,88.2,15.72
J143841.77+282952.4,0.0466,67.6,60.2,16.13
J143845.90+283019.6,0.0453,67.6,60.2,13.99
J143912.32+164750.9,0.1077,17.4,34.5,16.19
J143912.67+164734.4,0.1085,17.4,34.5,17.31
J143948.17+144419.5,0.0529,23.2,24.1,15.96
J143948.19+144442.8,0.0533,23.2,24.1,15.3
J144221.28+031615.0,0.0242,155.0,75.6,14.83
J144225.71+031355.0,0.0258,155.0,75.6,13.63
J144305.31+611838.6,0.0479,56.3,52.9,14.95
J144308.20+611914.4,0.0496,56.3,52.9,15.65
J144330.88+131212.6,0.1199,27.0,58.7,16.98
J144331.78+131236.0,0.1209,27.0,58.7,17.39
J144354.60+253916.7,0.0507,91.5,89.9,15.12
J144354.76+253745.2,0.0503,91.5,89.9,15.35
J144400.60+050448.6,0.0735,58.1,81.2,16.86
J144403.11+050404.4,0.0727,58.1,81.2,17.34
J144421.95+555007.9,0.1497,10.1,26.3,17.15
J144422.62+555008.3,0.1487,10.1,26.3,14.7
J144427.08+555753.7,0.1506,5.2,13.5,17.16
J144427.38+555751.0,0.1504,5.2,13.5,17.42
J144428.53+085346.4,0.0274,171.0,94.0,16.58
J144434.33+085613.5,0.0279,171.0,94.0,15.31
J144449.22+483855.5,0.0496,76.4,74.8,16.54
J144454.04+483830.9,0.0501,76.4,74.8,15.64
J144529.20-011108.7,0.0417,116.6,96.0,16.78
J144532.17-010920.9,0.0414,116.6,96.0,16.16
J144545.11+140558.7,0.0457,101.5,92.2,16.09
J144550.88+140505.6,0.0462,101.5,92.2,15.59
J144620.98+640611.9,0.0591,69.0,77.9,17.2
J144623.98+640519.5,0.0583,69.0,77.9,15.91
J144650.97+215258.6,0.0624,54.0,65.0,16.55
J144652.51+215347.4,0.0613,54.0,65.0,16.6
J144702.08+134006.2,0.0304,57.0,34.7,13.66
J144705.78+133953.1,0.0307,57.0,34.7,15.15
J144708.49+133917.0,0.0285,107.9,65.6,13.97
J144712.60+185132.8,0.0424,28.5,23.1,15.09
J144712.81+133939.3,0.0323,163.1,99.2,17.18
J144714.49+185130.9,0.0411,28.5,23.1,17.5
J144733.68+205209.5,0.0612,58.8,69.4,15.64
J144736.49+205128.5,0.0608,58.8,69.4,16.81
J144845.74+314113.3,0.0322,94.0,60.7,17.54
J144851.91+314057.8,0.0323,94.0,60.7,14.57
J144900.97+164837.3,0.0828,18.3,28.6,17.16
J144902.14+164842.9,0.0832,18.3,28.6,17.56
J144921.42+044923.4,0.0961,17.3,30.9,15.83
J144922.53+044918.8,0.0949,17.3,30.9,16.58
J144924.98+274622.5,0.0314,76.8,48.2,15.14
J144928.12+274521.9,0.031,76.8,48.2,15.74
J145018.92+101947.9,0.042,67.3,55.8,15.5
J145023.38+101939.8,0.0419,67.3,55.8,14.48
J145030.93+092950.6,0.0502,77.4,76.0,15.61
J145034.79+092859.2,0.0509,77.4,76.0,16.38
J145059.71-000215.2,0.0429,2.8,2.3,13.85
J145059.84-000213.2,0.043,2.8,2.3,17.3
J145114.77+200402.4,0.0687,57.0,74.9,15.92
J145115.81+200307.6,0.0673,57.0,74.9,16.15
J145117.66+184113.5,0.0436,66.4,57.7,13.95
J145120.94+184029.0,0.0442,66.4,57.7,16.92
J145133.28+452618.5,0.0374,63.8,47.4,15.1
J145136.92+302331.5,0.0616,66.8,79.9,16.91
J145137.54+452616.2,0.0378,63.8,47.4,16.94
J145141.32+302341.6,0.062,66.8,79.9,15.98
J145143.08+524121.8,0.2068,6.4,21.6,19.06
J145143.29+524127.4,0.2064,6.4,21.6,14.7
J145148.86+195715.4,0.0435,45.0,38.1,14.97
J145151.69+195700.6,0.0429,45.0,38.1,15.51
J145311.77+165524.4,0.0455,50.1,44.8,15.29
J145313.49+165607.3,0.0453,50.1,44.8,16.07
J145313.95+231847.6,0.0327,115.8,75.5,14.79
J145316.46+173140.5,0.0462,18.6,17.0,16.17
J145317.12+173124.7,0.0466,18.6,17.0,15.76
J145318.79+232017.8,0.0326,115.8,75.5,15.74
J145502.20+173542.1,0.0329,118.4,77.8,14.92
J145504.01+173346.8,0.0333,118.4,77.8,14.7
J145528.19+325024.0,0.0602,64.0,74.1,15.01
J145531.69+324947.5,0.0599,64.0,74.1,15.72
J145544.63+005158.0,0.0437,57.2,49.3,15.28
J145548.39+005207.7,0.0441,57.2,49.3,15.84
J145627.40+211956.0,0.0443,68.4,59.2,16.31
J145631.33+243635.0,0.0328,140.4,93.9,15.38
J145631.36+212030.1,0.044,68.4,59.2,16.3
J145637.76+243817.0,0.0336,140.4,93.9,15.81
J145806.24+013020.5,0.0429,60.6,51.3,14.56
J145808.49+013110.9,0.0444,60.6,51.3,15.45
J145834.52+323706.3,0.1219,22.6,49.5,17.59
J145835.93+323658.3,0.1208,22.6,49.5,16.43
J145838.58+382727.9,0.1358,32.6,78.8,17.49
J145840.73+382732.7,0.1367,32.6,78.8,17.43
J145908.32+122835.9,0.0717,42.4,58.0,16.86
J145910.19+122804.1,0.0718,42.4,58.0,16.83
J145911.43+132518.7,0.0437,111.2,96.5,14.01
J145916.59+132359.0,0.0441,111.2,96.5,15.66
J150031.93+085843.7,0.1364,10.8,26.2,17.66
J150032.47+085836.4,0.1355,10.8,26.2,17.44
J150134.50+544730.3,0.1636,5.1,14.4,17.32
J150134.74+544734.0,0.1642,5.1,14.4,17.64
J150228.72+023952.9,0.0797,36.8,55.4,17.08
J150229.70+024026.6,0.0797,36.8,55.4,17.24
J150400.74+240617.6,0.069,40.5,53.4,15.76
J150403.17+240559.9,0.0699,40.5,53.4,17.08
J150433.23+003700.4,0.0404,113.7,90.4,16.56
J150440.22+003616.3,0.0402,113.7,90.4,14.71
J150457.12+260058.5,0.054,61.6,65.2,14.69
J150501.22+260101.5,0.0545,61.6,65.2,15.49
J150510.77+203702.3,0.0657,56.4,71.1,16.02
J150514.52+203706.4,0.0657,56.4,71.1,15.45
J150529.54+395640.2,0.0301,70.2,43.0,13.75
J150530.01+395750.1,0.0306,70.2,43.0,15.39
J150533.04+054352.3,0.0858,57.4,92.3,17.18
J150533.56+054255.5,0.0849,57.4,92.3,15.64
J150631.41+404146.4,0.0294,138.0,84.9,15.28
J150640.58+404134.9,0.0308,85.5,52.6,15.64
J150645.48+404051.5,0.0292,85.5,52.6,14.57
J150653.39+125131.2,0.0216,62.3,28.0,13.93
