sdss designation,redshift,angular sep,proper sep,sdss r band
J081827.89+094109.5,0.0803,14.4,21.9,16.86
J081828.83+094106.0,0.0804,14.4,21.9,17.44
J082016.67+465221.6,0.0529,59.7,61.6,15.59
J082018.01+465125.3,0.0524,59.7,61.6,16.91
J082046.07+163844.8,0.0443,60.1,51.7,14.13
J082049.86+163904.2,0.0437,60.1,51.7,15.5
J082052.40+213309.4,0.1045,37.7,72.3,17.83
J082053.11+213345.5,0.105,37.7,72.3,17.68
J082117.70+144620.9,0.0651,28.1,35.8,14.7
J082118.33+144647.3,0.0665,28.1,35.8,15.28
J082119.07+284722.8,0.0773,60.3,88.1,16.98
J082120.03+284624.3,0.0771,60.3,88.1,16.85
J082307.12+215253.0,0.0923,30.2,51.9,16.52
J082308.50+215315.0,0.0923,30.2,51.9,17.67
J082321.67+042220.9,0.0311,142.8,88.7,13.14
J082329.88+042333.0,0.0308,142.8,88.7,15.4
J082601.78+080809.7,0.065,69.9,86.4,17.01
J082604.95+080900.9,0.0643,69.9,86.4,15.57
J082729.33+453046.6,0.0454,73.6,65.7,15.33
J082730.19+452934.1,0.0462,73.6,65.7,16.89
J082752.27+191405.8,0.0991,52.5,96.0,17.06
J082754.96+191332.3,0.0998,52.5,96.0,14.7
J082835.29+220228.0,0.1848,14.0,43.4,17.13
J082836.17+220223.1,0.1863,14.0,43.4,17.61
J082846.95+122724.1,0.0673,68.3,87.0,15.34
J082847.93+122832.0,0.0677,69.5,90.1,16.52
J082851.50+122726.8,0.0664,68.3,87.0,15.9
J082905.26+270454.3,0.0949,12.3,21.6,17.43
J082906.08+270455.2,0.094,12.3,21.6,16.53
J082932.99+295851.2,0.0653,69.5,87.5,16.06
J082937.41+295911.9,0.0656,69.5,87.5,15.38
J083138.23+510643.5,0.05,12.1,11.9,14.89
J083138.98+510639.2,0.0502,12.1,11.9,16.93
J083157.65+191241.5,0.0372,55.8,41.2,14.37
J083200.51+191205.9,0.0375,55.8,41.2,17.17
J083224.37+331122.5,0.0563,71.9,77.8,14.84
J083228.00+331209.3,0.0558,71.9,77.8,15.43
J083316.74+231712.6,0.0857,19.7,31.8,16.8
J083317.19+231731.1,0.0862,19.7,31.8,16.11
J083323.08+353221.1,0.0645,60.9,75.3,16.35
J083323.22+353322.0,0.0643,60.9,75.3,16.81
J083418.64+252846.5,0.085,38.4,61.3,17.65
J083420.74+252908.7,0.085,38.4,61.3,14.7
J083532.50+543044.6,0.032,125.2,80.1,15.46
J083535.58+543240.9,0.0312,125.2,80.1,14.51
J083548.70+350441.0,0.062,6.1,7.3,16.51
J083549.10+350442.0,0.0615,6.1,7.3,16.61
J083555.90+140515.0,0.0925,27.8,48.3,15.87
J083556.92+140451.9,0.0935,27.8,48.3,17.43
J083617.50+172049.5,0.1045,41.7,80.3,17.28
J083617.62+172131.1,0.105,41.7,80.3,16.7
J083633.48+220434.9,0.1244,34.5,77.0,17.43
J083633.71+220400.6,0.1252,34.5,77.0,16.42
J083644.83+472218.8,0.0526,18.1,18.5,15.13
J083645.89+472210.2,0.0528,18.1,18.5,14.97
J083814.23+294450.8,0.1082,31.9,63.1,17.14
J083814.96+294520.7,0.1087,31.9,63.1,16.3
J083817.59+305453.5,0.0478,9.3,8.8,15.57
J083817.95+305501.1,0.0481,9.3,8.8,15.15
J083824.98+235655.2,0.0519,77.5,78.5,16.52
J083825.76+235811.8,0.0519,77.5,78.5,15.43
J083847.57+040734.6,0.0484,8.6,8.1,17.27
J083848.15+040734.1,0.0476,8.6,8.1,14.87
J083851.95+331231.4,0.0696,7.6,10.2,16.04
J083852.35+331226.6,0.0697,7.6,10.2,15.56
J084047.57+114744.2,0.0996,53.7,98.7,17.23
J084050.69+114717.8,0.0985,53.7,98.7,17.19
J084213.02+360336.6,0.0509,99.8,99.1,16.62
J084219.66+360341.6,0.0528,99.8,99.1,17.17
J084316.26+361342.4,0.0535,93.0,97.6,14.69
J084317.10+361210.3,0.0539,93.0,97.6,16.18
J084345.44+523233.0,0.0668,69.3,89.4,16.32
J084347.59+523334.4,0.0673,69.3,89.4,16.36
J084453.54+550314.5,0.0256,58.5,29.5,14.71
J084454.33+550411.9,0.025,58.5,29.5,15.69
J084506.02+443623.7,0.0541,64.4,67.8,14.84
J084506.14+443519.2,0.0539,64.4,67.8,14.82
J084520.71+443223.1,0.0526,69.5,71.2,15.74
J084521.25+443114.0,0.0533,69.5,71.2,15.4
J084541.61+411658.3,0.0299,156.2,93.5,13.79
J084545.52+411923.1,0.0303,156.2,93.5,17.55
J084634.99+181739.5,0.1064,11.8,22.9,16.94
J084635.26+181750.5,0.1059,11.8,22.9,17.81
J084654.80+021457.7,0.0602,32.6,37.8,16.74
J084656.70+021441.7,0.06,32.6,37.8,16.33
J084705.61+364305.5,0.1567,34.0,92.2,17.32
J084707.58+364248.5,0.1567,34.0,92.2,17.75
J084800.59+260008.2,0.0643,80.0,98.9,16.2
J084801.14+260127.8,0.0654,80.0,98.9,15.94
J084823.91+143338.4,0.0604,66.7,77.8,16.17
J084827.76+143411.8,0.0612,66.7,77.8,14.7
J084838.33+245039.0,0.0851,61.3,99.0,17.52
J084840.50+245131.0,0.0862,61.3,99.0,16.62
J084905.40+111445.9,0.0773,5.2,7.7,18.37
J084905.43+111451.1,0.0777,5.2,7.7,17.5
J084917.30+531755.8,0.1113,44.4,90.2,14.7
J084919.71+531730.1,0.1115,44.4,90.2,15.97
J085230.36+564846.2,0.0883,41.6,68.7,15.6
J085232.46+564819.0,0.0871,41.6,68.7,15.37
J085312.36+162619.5,0.0637,6.5,8.0,15.84
J085312.70+162615.5,0.0649,6.5,8.0,17.05
J085323.34+391045.8,0.1448,21.1,53.7,17.14
J085324.67+391039.0,0.1452,21.1,53.7,17.61
J085337.44+004409.6,0.0409,84.4,68.3,15.49
J085339.28+004529.4,0.0411,84.4,68.3,14.9
J085441.74+305754.7,0.197,6.2,20.0,14.7
J085442.11+305757.4,0.1956,6.2,20.0,17.76
J085458.53+262953.7,0.0598,30.0,33.6,16.08
J085458.92+262924.3,0.0578,30.0,33.6,15.05
J085537.28+075038.7,0.0612,60.2,72.8,15.0
J085540.94+075014.1,0.0628,60.2,72.8,17.03
J085712.30+144322.7,0.0686,50.3,66.0,16.39
J085715.47+144339.1,0.07,50.3,66.0,16.45
J085743.52+382505.8,0.093,24.9,43.1,15.47
J085745.18+382507.7,0.0928,24.9,43.1,16.78
J085816.42+173305.7,0.0483,80.2,76.7,16.52
J085820.64+173216.3,0.0489,80.2,76.7,14.07
J085827.42+503243.2,0.0495,41.5,39.9,15.69
J085828.06+503323.6,0.0491,41.5,39.9,17.44
J085837.53+182221.6,0.0587,2.9,3.3,16.4
J085837.68+182223.4,0.0589,2.9,3.3,15.7
J085850.57+340519.7,0.051,9.6,9.6,15.98
J085851.21+340520.4,0.0507,9.6,9.6,16.82
J085927.64+173344.9,0.0483,43.6,41.3,17.02
J085930.05+173409.2,0.0477,43.6,41.3,15.74
J085931.39+173253.6,0.0499,76.1,72.0,15.91
J085937.55+142651.2,0.0947,53.8,93.3,15.95
J085941.07+142640.7,0.0933,53.8,93.3,16.4
J090002.87+600544.8,0.0391,79.9,61.9,17.22
J090007.20+600458.1,0.039,79.9,61.9,14.9
J090042.17+314808.3,0.0644,72.3,90.3,17.0
J090046.89+314822.7,0.065,72.3,90.3,16.73
J090051.70+310952.3,0.0397,106.1,83.8,14.98
J090056.10+310829.1,0.0399,106.1,83.8,16.81
J090131.21+491931.4,0.0273,80.0,43.9,14.51
J090135.24+491839.1,0.0273,80.0,43.9,15.59
J090150.41+122721.3,0.1047,51.5,98.8,16.91
J090151.46+122810.4,0.1044,51.5,98.8,17.44
J090202.17+203039.2,0.0831,64.5,99.0,17.12
J090206.47+203037.7,0.0815,64.5,99.0,15.41
J090226.11+142719.5,0.0297,158.8,94.6,14.17
J090235.74+142613.3,0.0292,158.8,94.6,15.45
J090306.20+380816.0,0.0598,78.7,91.9,17.28
J090307.21+380658.8,0.0605,78.7,91.9,16.64
J090309.21+093721.8,0.0303,57.9,35.1,16.03
J090311.33+155945.8,0.1051,31.2,60.2,15.39
J090311.88+155915.7,0.1054,31.2,60.2,16.83
J090312.97+093708.4,0.0301,57.9,35.1,14.35
J090512.69+281534.4,0.0269,159.1,86.1,15.67
J090515.73+075618.9,0.0636,57.0,69.7,17.13
J090516.12+075522.3,0.0625,57.0,69.7,15.63
J090520.84+075440.1,0.0616,82.5,98.0,16.36
J090523.09+281503.1,0.0267,159.1,86.1,14.04
J090556.65+191233.2,0.0836,29.5,46.3,16.68
J090557.73+191208.6,0.0832,29.5,46.3,15.8
J090714.45+520343.4,0.0596,7.6,8.9,16.27
J090714.61+520350.7,0.0602,7.6,8.9,16.95
J090746.21+524641.6,0.0981,42.3,76.6,16.21
J090748.95+524651.3,0.0977,42.3,76.6,16.77
J090815.42+160231.7,0.0722,47.6,66.9,15.53
J090816.14+160318.0,0.074,47.6,66.9,16.22
J090838.63+324609.3,0.2606,11.2,45.0,19.36
J090838.78+324620.2,0.2598,11.2,45.0,14.7
J090840.42+130541.7,0.0969,44.8,80.5,17.06
J090842.92+130606.2,0.097,44.8,80.5,16.06
J090935.20+193030.8,0.0278,146.5,81.9,14.86
J090937.45+192808.3,0.0278,146.5,81.9,13.88
J090958.07+621450.5,0.0262,161.1,85.1,13.06
J091005.89+621300.0,0.026,161.1,85.1,15.63
J091006.39+515442.4,0.0383,3.9,2.9,14.05
J091006.60+515444.8,0.0365,3.9,2.9,18.07
J091020.91+170751.5,0.1245,42.9,95.6,16.85
J091023.32+170728.4,0.1243,42.9,95.6,16.93
J091035.88+110828.2,0.1222,24.6,54.1,17.16
J091037.06+110845.3,0.1215,24.6,54.1,17.61
J091052.80+414019.6,0.1159,24.9,52.4,17.68
J091053.36+413956.1,0.1151,24.9,52.4,17.13
J091141.16+030955.4,0.1444,36.0,91.1,17.67
J091141.79+031030.1,0.1449,36.0,91.1,17.89
J091320.41+225044.5,0.0358,81.0,58.7,16.22
J091322.83+225156.9,0.0364,81.0,58.7,14.8
J091334.02+300223.4,0.0214,187.5,81.2,15.45
